,Customer.Lifetime.Value,Coverage,Education,EmploymentStatus,Gender,Income,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size
5267,20461.1545,Premium,Bachelor,Employed,M,87502,Urban,Married,102,20,28,0,2,Personal Auto,Personal L3,Offer2,Branch,421.111226,Four-Door Car,2
5268,5340.810309,Basic,College,Unemployed,F,0,Suburban,Married,72,1,73,0,6,Personal Auto,Personal L3,Offer2,Web,345.6,Four-Door Car,2
5269,4670.047979,Extended,Doctor,Unemployed,M,0,Suburban,Married,125,21,34,0,1,Corporate Auto,Corporate L3,Offer1,Branch,600,SUV,2
5270,6521.368813,Extended,College,Employed,F,72608,Suburban,Married,0,26,19,3,8,Personal Auto,Personal L3,Offer2,Agent,393.6,Four-Door Car,2
5271,5938.511892,Basic,Doctor,Employed,F,44190,Rural,Married,74,17,40,0,3,Corporate Auto,Corporate L3,Offer2,Branch,10.68564,Four-Door Car,2
5272,4162.179638,Basic,High School or Below,Unemployed,M,0,Suburban,Single,67,26,88,0,3,Personal Auto,Personal L3,Offer1,Branch,321.6,Four-Door Car,2
5274,26197.41498,Basic,High School or Below,Employed,M,66825,Rural,Married,113,2,26,1,2,Personal Auto,Personal L2,Offer4,Agent,52.336233,Sports Car,2
5277,19160.98994,Basic,College,Unemployed,F,0,Suburban,Single,139,13,61,0,2,Personal Auto,Corporate L2,Offer4,Agent,1345.317161,SUV,2
5278,5548.031892,Basic,Bachelor,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Personal L1,Offer1,Agent,331.2,Four-Door Car,2
5279,9048.983447,Basic,High School or Below,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,2
5280,7296.493236,Basic,College,Unemployed,F,0,Suburban,Divorced,67,29,88,0,2,Personal Auto,Personal L1,Offer1,Web,321.6,Two-Door Car,2
5281,2364.43161,Basic,College,Employed,M,46264,Urban,Single,62,17,75,0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,2
5282,3092.632781,Basic,Bachelor,Employed,F,31168,Urban,Married,78,14,42,0,1,Corporate Auto,Corporate L1,Offer1,Agent,289.386343,Four-Door Car,2
5283,2862.729074,Basic,Doctor,Employed,F,64640,Urban,Divorced,73,5,94,2,1,Personal Auto,Personal L3,Offer3,Agent,327.912134,Four-Door Car,2
5284,6451.263836,Extended,Bachelor,Unemployed,F,0,Suburban,Single,99,16,48,0,3,Personal Auto,Personal L1,Offer1,Agent,763.2,Four-Door Car,2
5289,7100.3251,Premium,College,Employed,M,31670,Suburban,Married,179,33,3,0,1,Corporate Auto,Corporate L3,Offer3,Agent,1288.8,Sports Car,1
5290,8169.746083,Basic,College,Employed,F,32799,Suburban,Divorced,104,7,27,0,3,Personal Auto,Personal L2,Offer1,Agent,499.2,SUV,2
5291,4698.759935,Basic,Bachelor,Unemployed,F,0,Suburban,Single,67,27,71,0,6,Personal Auto,Personal L2,Offer1,Agent,321.6,Two-Door Car,2
5292,8471.417471,Basic,College,Medical Leave,M,17483,Suburban,Single,62,31,65,0,2,Personal Auto,Personal L3,Offer1,Web,373.454457,Four-Door Car,2
5294,5638.262608,Basic,Bachelor,Employed,F,56017,Rural,Married,71,1,98,0,6,Corporate Auto,Corporate L3,Offer1,Branch,51.995897,Four-Door Car,3
5295,5043.801276,Basic,High School or Below,Employed,M,35832,Urban,Divorced,65,1,44,0,7,Personal Auto,Personal L3,Offer1,Agent,177.211626,Four-Door Car,2
5296,4781.821034,Basic,High School or Below,Unemployed,M,0,Suburban,Married,66,27,56,0,9,Corporate Auto,Personal L2,Offer3,Call Center,420.35698,Four-Door Car,2
5297,9217.978125,Extended,College,Medical Leave,F,10540,Suburban,Married,88,3,67,0,9,Personal Auto,Personal L3,Offer3,Agent,657.290491,Four-Door Car,3
5299,4236.301454,Premium,College,Medical Leave,F,25866,Suburban,Married,109,20,56,0,1,Personal Auto,Personal L2,Offer1,Agent,523.2,Four-Door Car,3
5300,5633.741543,Basic,Doctor,Employed,M,65255,Urban,Divorced,72,3,65,2,3,Personal Auto,Personal L3,Offer1,Agent,321.457124,Four-Door Car,3
5301,11121.62179,Basic,Bachelor,Employed,F,42928,Urban,Married,0,4,50,0,2,Personal Auto,Personal L3,Offer1,Branch,324.879569,Four-Door Car,2
5302,8875.965501,Extended,High School or Below,Employed,F,54094,Suburban,Married,115,6,8,0,3,Personal Auto,Personal L3,Offer4,Call Center,566.4,Two-Door Car,2
5303,5875.038074,Basic,Master,Employed,M,55836,Urban,Married,73,8,87,0,7,Personal Auto,Personal L3,Offer1,Web,314.936185,Four-Door Car,2
5305,3673.525732,Extended,Bachelor,Employed,F,69555,Urban,Single,92,16,59,0,1,Personal Auto,Personal L2,Offer1,Agent,255.277041,Four-Door Car,2
5310,17208.05642,Basic,High School or Below,Employed,F,29734,Suburban,Divorced,0,12,86,0,2,Corporate Auto,Corporate L2,Offer4,Web,649.83837,Two-Door Car,2
5311,8556.58016,Premium,High School or Below,Employed,F,52440,Urban,Single,109,27,58,0,3,Corporate Auto,Corporate L3,Offer2,Agent,371.206205,Four-Door Car,2
5313,4379.770178,Premium,Bachelor,Medical Leave,M,25404,Suburban,Married,113,14,91,0,1,Personal Auto,Personal L3,Offer1,Branch,662.444819,Four-Door Car,1
5314,2874.08847,Basic,Master,Employed,F,33462,Rural,Married,72,12,9,0,1,Personal Auto,Personal L3,Offer2,Branch,112.425578,Four-Door Car,2
5315,2968.077571,Basic,College,Employed,M,91646,Rural,Married,74,12,10,0,1,Corporate Auto,Corporate L1,Offer2,Branch,57.678779,Two-Door Car,2
5316,11546.17372,Basic,Bachelor,Employed,M,25542,Suburban,Married,0,15,77,0,2,Personal Auto,Personal L1,Offer2,Agent,413.25233,Two-Door Car,2
5320,7999.251628,Basic,Doctor,Employed,F,66685,Suburban,Married,67,11,31,0,2,Personal Auto,Personal L1,Offer2,Call Center,320.849072,Two-Door Car,3
5321,6156.363979,Extended,College,Employed,M,78824,Urban,Divorced,77,10,12,0,6,Personal Auto,Personal L3,Offer1,Agent,267.699403,Four-Door Car,2
5322,12941.89193,Basic,College,Employed,M,52369,Suburban,Married,110,34,49,1,2,Personal Auto,Personal L3,Offer1,Agent,528,SUV,2
5323,3409.677392,Extended,Bachelor,Employed,F,85023,Suburban,Married,85,4,69,0,1,Personal Auto,Personal L1,Offer2,Agent,408,Four-Door Car,2
5324,4515.184003,Premium,College,Employed,F,87517,Suburban,Married,112,1,28,1,1,Corporate Auto,Corporate L3,Offer2,Branch,802.278237,Four-Door Car,3
5326,4620.390087,Extended,College,Unemployed,F,0,Suburban,Single,130,11,0,0,1,Personal Auto,Personal L2,Offer3,Agent,936,SUV,2
5327,4571.509384,Basic,College,Employed,F,91485,Urban,Divorced,114,2,16,0,1,Corporate Auto,Personal L3,Offer3,Web,392.925712,SUV,3
5329,8489.843197,Basic,Bachelor,Employed,M,57961,Suburban,Divorced,109,15,58,2,3,Personal Auto,Personal L1,Offer1,Call Center,528,SUV,2
5330,4900.336708,Basic,Bachelor,Disabled,M,11698,Suburban,Single,72,26,33,0,4,Personal Auto,Personal L1,Offer1,Web,340.8,Four-Door Car,2
5331,12280.76661,Premium,College,Employed,M,88340,Suburban,Married,102,16,1,0,2,Corporate Auto,Corporate L2,Offer1,Branch,489.6,Two-Door Car,2
5332,2772.502139,Basic,High School or Below,Employed,M,68463,Suburban,Married,70,19,67,1,1,Personal Auto,Personal L1,Offer2,Call Center,336,Four-Door Car,2
5333,11360.46496,Premium,High School or Below,Unemployed,M,0,Suburban,Married,104,29,7,0,2,Corporate Auto,Corporate L1,Offer2,Branch,773.346065,Two-Door Car,3
5336,3096.511217,Extended,High School or Below,Employed,M,21604,Rural,Married,0,14,21,0,1,Special Auto,Special L2,Offer2,Agent,160.598662,Four-Door Car,2
5337,2522.41457,Basic,College,Unemployed,M,0,Suburban,Married,0,10,20,0,1,Personal Auto,Personal L3,Offer2,Web,316.8,Four-Door Car,2
5338,10593.59462,Extended,College,Employed,M,94042,Suburban,Married,132,13,67,0,9,Corporate Auto,Corporate L2,Offer4,Branch,633.6,SUV,2
5339,2199.61781,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,5,19,0,1,Personal Auto,Personal L2,Offer1,Agent,468,Two-Door Car,2
5341,20725.37773,Premium,Bachelor,Disabled,M,15529,Suburban,Married,273,1,64,0,9,Personal Auto,Personal L3,Offer3,Branch,1965.6,Luxury SUV,3
5343,9726.551005,Basic,College,Medical Leave,M,19592,Suburban,Married,68,12,74,0,2,Corporate Auto,Corporate L3,Offer2,Branch,389.636991,Four-Door Car,3
5344,2605.599527,Basic,College,Employed,M,20592,Urban,Single,71,15,81,1,1,Personal Auto,Personal L3,Offer4,Branch,195.153339,Two-Door Car,2
5345,2949.282616,Basic,High School or Below,Employed,F,78596,Rural,Divorced,73,11,0,0,1,Personal Auto,Personal L3,Offer3,Call Center,106.267659,Four-Door Car,2
5346,30475.78048,Extended,High School or Below,Employed,M,90289,Suburban,Single,245,27,81,0,2,Corporate Auto,Corporate L3,Offer1,Agent,2552.343856,Luxury Car,2
5347,4726.869327,Extended,Bachelor,Medical Leave,F,13037,Suburban,Married,124,28,49,0,1,Personal Auto,Personal L1,Offer2,Agent,839.348464,SUV,3
5348,6189.122455,Extended,High School or Below,Disabled,F,28672,Suburban,Married,83,14,4,0,9,Corporate Auto,Personal L3,Offer1,Branch,398.4,Two-Door Car,2
5349,5488.931031,Basic,High School or Below,Employed,F,33881,Rural,Married,68,11,83,0,9,Personal Auto,Personal L3,Offer2,Web,65.659137,Four-Door Car,1
5350,8237.376444,Basic,College,Employed,M,70882,Rural,Married,69,20,50,0,2,Personal Auto,Personal L3,Offer1,Agent,124.380223,Four-Door Car,2
5351,4213.918619,Premium,High School or Below,Disabled,F,12160,Urban,Married,109,5,34,0,1,Personal Auto,Personal L1,Offer2,Agent,489.411833,Four-Door Car,2
5352,8561.561976,Basic,High School or Below,Employed,M,51179,Rural,Married,108,9,57,0,9,Personal Auto,Personal L3,Offer1,Agent,138.423414,SUV,3
5353,12036.62051,Basic,Bachelor,Employed,M,44428,Suburban,Single,104,17,61,0,2,Corporate Auto,Corporate L1,Offer1,Call Center,499.2,SUV,2
5355,31316.61358,Extended,Bachelor,Employed,F,42522,Suburban,Married,132,3,85,0,2,Corporate Auto,Corporate L1,Offer3,Agent,909.876614,SUV,2
5356,3012.039703,Extended,Bachelor,Employed,F,42987,Rural,Divorced,77,14,48,0,1,Personal Auto,Personal L3,Offer2,Web,128.490137,Four-Door Car,3
5357,2267.604038,Basic,Doctor,Unemployed,M,0,Suburban,Married,61,3,67,0,1,Personal Auto,Personal L2,Offer4,Call Center,292.8,Four-Door Car,2
5359,11308.47178,Basic,College,Unemployed,F,0,Suburban,Single,66,4,83,0,2,Personal Auto,Personal L1,Offer3,Branch,316.8,Four-Door Car,2
5360,2604.84712,Basic,College,Employed,F,83758,Urban,Married,65,18,67,0,1,Personal Auto,Personal L2,Offer2,Agent,201.455005,Four-Door Car,2
5361,5614.587986,Basic,College,Employed,F,40417,Rural,Married,0,34,4,1,8,Personal Auto,Personal L3,Offer3,Agent,130.303439,Four-Door Car,1
5362,2458.562965,Basic,College,Unemployed,M,0,Suburban,Single,71,21,8,1,1,Personal Auto,Personal L2,Offer1,Agent,511.2,Two-Door Car,2
5363,9085.204991,Extended,Bachelor,Unemployed,F,0,Rural,Married,82,14,27,2,2,Personal Auto,Personal L3,Offer3,Agent,146.757086,Four-Door Car,1
5364,2906.893312,Basic,High School or Below,Employed,F,45128,Rural,Married,72,13,34,0,1,Special Auto,Special L2,Offer4,Branch,66.667784,Four-Door Car,2
5366,2273.62059,Basic,College,Unemployed,M,0,Suburban,Divorced,62,16,69,0,1,Personal Auto,Personal L2,Offer3,Agent,307.2,Four-Door Car,2
5367,9654.523307,Extended,Bachelor,Employed,M,67772,Suburban,Single,82,29,27,0,2,Personal Auto,Personal L1,Offer4,Branch,502.580472,Four-Door Car,2
5368,2472.469209,Basic,College,Employed,F,63860,Urban,Married,62,26,81,0,1,Personal Auto,Personal L3,Offer2,Agent,208.598246,Four-Door Car,2
5369,29830.38714,Basic,High School or Below,Unemployed,M,0,Suburban,Divorced,0,14,95,0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,2
5370,6519.287872,Extended,Master,Employed,M,38795,Suburban,Married,82,30,41,1,3,Corporate Auto,Corporate L3,Offer1,Branch,393.6,Two-Door Car,3
5371,6947.838781,Extended,High School or Below,Unemployed,F,0,Suburban,Single,99,12,77,0,4,Corporate Auto,Corporate L3,Offer2,Call Center,475.2,Two-Door Car,2
5372,2392.13114,Basic,Bachelor,Disabled,F,19864,Suburban,Married,64,21,93,0,1,Personal Auto,Personal L2,Offer2,Branch,439.2,Four-Door Car,2
5373,5674.381244,Basic,Bachelor,Employed,F,26225,Urban,Married,72,18,25,1,7,Special Auto,Special L2,Offer2,Web,320.777404,Four-Door Car,2
5374,33053.26869,Extended,College,Employed,M,44246,Suburban,Married,122,1,18,3,2,Personal Auto,Personal L2,Offer1,Web,585.6,SUV,3
5375,4692.660787,Basic,College,Unemployed,M,0,Suburban,Single,69,24,23,0,8,Personal Auto,Personal L2,Offer2,Call Center,549.271947,Two-Door Car,2
5377,8026.04923,Basic,Bachelor,Unemployed,M,0,Suburban,Married,109,10,20,0,6,Corporate Auto,Corporate L3,Offer1,Branch,898.430079,SUV,2
5378,31642.10463,Extended,College,Employed,M,89057,Rural,Married,98,17,90,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,187.363583,Two-Door Car,2
5379,3107.568648,Extended,High School or Below,Unemployed,M,0,Suburban,Married,94,34,59,4,1,Personal Auto,Personal L3,Offer1,Branch,451.2,Two-Door Car,2
5381,23207.26972,Extended,High School or Below,Employed,F,45039,Rural,Married,96,27,94,0,2,Personal Auto,Personal L2,Offer1,Agent,192.144838,Four-Door Car,1
5382,8163.890428,Extended,Bachelor,Unemployed,M,0,Suburban,Single,85,9,37,3,2,Corporate Auto,Corporate L2,Offer1,Branch,790.784983,Four-Door Car,2
5384,8478.824155,Extended,Bachelor,Unemployed,M,0,Rural,Married,0,25,48,0,2,Personal Auto,Personal L1,Offer1,Branch,12.603783,Four-Door Car,2
5388,2887.742258,Extended,Bachelor,Unemployed,F,0,Suburban,Single,80,24,95,0,1,Personal Auto,Personal L1,Offer1,Call Center,676.944023,Four-Door Car,2
5390,3528.044252,Extended,Doctor,Employed,M,31278,Suburban,Married,92,24,95,4,1,Personal Auto,Personal L3,Offer1,Branch,441.6,Two-Door Car,2
5391,14137.23043,Basic,College,Employed,F,53484,Suburban,Married,0,19,7,0,2,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,2
5394,2619.478929,Basic,High School or Below,Employed,M,78618,Rural,Married,65,24,43,4,1,Personal Auto,Personal L3,Offer4,Agent,63.043197,Four-Door Car,2
5396,2160.920387,Basic,High School or Below,Unemployed,F,0,Suburban,Single,62,4,49,1,1,Personal Auto,Personal L3,Offer1,Agent,439.001718,Four-Door Car,2
5397,4746.759537,Premium,College,Employed,F,54050,Suburban,Married,0,5,15,0,1,Personal Auto,Personal L2,Offer3,Call Center,571.2,Two-Door Car,1
5398,2610.369217,Basic,Bachelor,Employed,F,54737,Suburban,Single,66,3,86,0,1,Personal Auto,Personal L3,Offer3,Web,391.970334,Four-Door Car,2
5399,4949.803822,Basic,High School or Below,Employed,F,21342,Rural,Married,62,34,72,0,3,Personal Auto,Personal L2,Offer3,Agent,74.350893,Four-Door Car,2
5400,4623.624811,Basic,High School or Below,Employed,M,97065,Suburban,Single,117,10,0,0,1,Personal Auto,Personal L2,Offer4,Branch,561.6,SUV,2
5402,3086.013544,Basic,College,Employed,F,73938,Rural,Married,76,34,48,0,1,Personal Auto,Personal L3,Offer4,Call Center,53.095599,Two-Door Car,2
5403,2655.996158,Basic,Bachelor,Employed,M,31796,Suburban,Divorced,68,27,16,0,1,Personal Auto,Personal L3,Offer1,Agent,377.442796,Four-Door Car,2
5404,2585.937023,Basic,Bachelor,Disabled,F,21603,Suburban,Married,68,11,46,2,1,Personal Auto,Personal L3,Offer4,Branch,326.4,Four-Door Car,1
5405,24084.5352,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.082036,Four-Door Car,2
5406,8997.040244,Premium,College,Employed,F,54230,Suburban,Married,112,10,21,0,9,Personal Auto,Personal L2,Offer2,Agent,537.6,Two-Door Car,2
5408,4426.096934,Basic,College,Employed,F,29660,Urban,Married,112,29,71,0,1,Personal Auto,Personal L3,Offer1,Agent,334.133949,SUV,3
5409,16702.69914,Basic,College,Unemployed,M,0,Suburban,Single,72,34,46,0,2,Special Auto,Special L3,Offer1,Agent,345.6,Four-Door Car,2
5410,7507.455372,Basic,College,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal Auto,Personal L2,Offer2,Agent,231.201886,Two-Door Car,2
5411,3979.388247,Basic,High School or Below,Unemployed,F,0,Suburban,Single,112,11,3,0,1,Personal Auto,Personal L3,Offer1,Agent,806.4,SUV,2
5412,16979.79757,Basic,Bachelor,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Personal Auto,Personal L1,Offer2,Call Center,525.6,Two-Door Car,3
5414,11665.09779,Basic,College,Employed,F,84978,Rural,Married,72,12,51,1,2,Corporate Auto,Corporate L1,Offer1,Agent,166.77296,Four-Door Car,1
5417,2486.428407,Basic,High School or Below,Unemployed,F,0,Suburban,Single,72,22,55,0,1,Corporate Auto,Corporate L3,Offer2,Branch,518.4,Two-Door Car,1
5418,4558.498445,Basic,College,Unemployed,F,0,Suburban,Single,65,24,93,0,9,Personal Auto,Personal L3,Offer1,Agent,312,Two-Door Car,2
5420,18882.63699,Premium,College,Medical Leave,M,24054,Suburban,Single,0,14,61,0,2,Personal Auto,Personal L1,Offer1,Branch,1133.801271,SUV,2
5421,8500.909417,Basic,High School or Below,Employed,M,79153,Suburban,Married,106,12,5,0,7,Special Auto,Special L1,Offer4,Call Center,508.8,SUV,2
5422,10097.19837,Basic,High School or Below,Employed,M,68997,Urban,Married,63,3,26,0,2,Personal Auto,Personal L2,Offer2,Agent,206.926432,Four-Door Car,1
5423,6686.128629,Extended,High School or Below,Employed,M,22244,Rural,Married,84,6,59,0,9,Personal Auto,Personal L3,Offer3,Web,114.815893,Four-Door Car,2
5424,6646.749298,Extended,Bachelor,Employed,F,95815,Suburban,Married,82,6,95,0,3,Personal Auto,Personal L2,Offer3,Call Center,393.6,Four-Door Car,3
5426,4914.731004,Basic,Bachelor,Disabled,F,14232,Suburban,Married,64,13,1,0,5,Personal Auto,Personal L3,Offer4,Agent,307.2,Four-Door Car,3
5428,2332.095228,Basic,Bachelor,Unemployed,F,0,Suburban,Single,64,21,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,632.715382,Two-Door Car,1
5430,5138.244998,Basic,High School or Below,Employed,M,63147,Rural,Married,65,7,84,0,8,Corporate Auto,Personal L2,Offer1,Agent,95.925021,Four-Door Car,2
5431,6968.3419,Extended,Bachelor,Employed,F,22568,Suburban,Married,87,29,47,0,9,Personal Auto,Personal L1,Offer2,Agent,478.751065,Four-Door Car,3
5432,4892.628631,Basic,College,Medical Leave,F,20647,Suburban,Married,65,16,48,0,8,Personal Auto,Personal L2,Offer1,Branch,312,Two-Door Car,3
5433,4334.064096,Extended,College,Unemployed,M,0,Suburban,Single,0,6,72,0,1,Personal Auto,Personal L3,Offer3,Web,900,SUV,2
5434,15251.57924,Extended,Bachelor,Employed,F,63287,Suburban,Married,127,5,84,0,2,Personal Auto,Personal L2,Offer1,Agent,617.202619,SUV,3
5435,8082.880956,Basic,College,Employed,M,53554,Suburban,Married,67,6,5,0,2,Personal Auto,Personal L2,Offer1,Agent,327.020539,Four-Door Car,1
5437,7412.135256,Basic,College,Employed,F,49057,Urban,Married,102,3,36,0,3,Personal Auto,Personal L2,Offer1,Agent,285.048692,Sports Car,2
5438,8459.053233,Basic,College,Employed,F,92717,Urban,Married,70,24,19,0,2,Personal Auto,Personal L3,Offer4,Call Center,224.27582,Two-Door Car,2
5439,3615.889805,Extended,High School or Below,Unemployed,M,0,Suburban,Married,95,16,1,0,1,Personal Auto,Personal L3,Offer1,Agent,684,Four-Door Car,2
5440,4272.585137,Premium,College,Disabled,M,11904,Suburban,Single,0,17,38,0,1,Personal Auto,Personal L3,Offer1,Call Center,571.2,Two-Door Car,3
5443,9298.887011,Extended,College,Unemployed,M,0,Suburban,Single,137,20,28,0,3,Personal Auto,Personal L1,Offer1,Branch,657.6,SUV,2
5444,6005.847375,Extended,College,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,2
5445,5220.685297,Extended,Master,Employed,F,68867,Suburban,Married,129,19,91,0,1,Personal Auto,Personal L3,Offer1,Call Center,619.2,SUV,2
5446,8259.1108,Extended,High School or Below,Unemployed,F,0,Suburban,Married,76,3,59,3,2,Personal Auto,Corporate L1,Offer1,Agent,409.089884,Four-Door Car,2
5447,6766.558551,Extended,College,Employed,M,20046,Suburban,Married,87,15,59,0,3,Corporate Auto,Personal L2,Offer3,Web,417.6,Two-Door Car,2
5448,5058.927182,Extended,High School or Below,Unemployed,F,0,Suburban,Married,134,32,27,0,1,Special Auto,Special L2,Offer1,Branch,643.2,SUV,3
5449,2482.38724,Basic,Bachelor,Unemployed,M,0,Suburban,Single,71,13,50,0,1,Personal Auto,Personal L2,Offer1,Call Center,511.2,Four-Door Car,2
5450,10010.14003,Extended,High School or Below,Employed,M,66371,Rural,Married,125,2,75,0,5,Personal Auto,Personal L3,Offer2,Agent,43.098747,SUV,2
5451,4179.488639,Premium,Bachelor,Medical Leave,F,21586,Suburban,Single,0,20,62,0,1,Corporate Auto,Personal L2,Offer2,Branch,820.8,Two-Door Car,3
5452,5113.899098,Basic,High School or Below,Disabled,M,12940,Suburban,Single,71,26,81,1,3,Personal Auto,Personal L2,Offer2,Call Center,340.8,Four-Door Car,2
5453,16870.3882,Extended,Bachelor,Employed,M,61063,Urban,Married,85,21,4,0,2,Personal Auto,Personal L2,Offer2,Agent,262.504882,Four-Door Car,2
5454,2195.911185,Basic,High School or Below,Unemployed,F,0,Suburban,Married,61,30,35,0,1,Corporate Auto,Corporate L3,Offer2,Agent,437.184112,Four-Door Car,2
5455,4966.736817,Basic,Bachelor,Unemployed,M,0,Suburban,Single,70,9,90,0,9,Personal Auto,Personal L2,Offer3,Branch,331.2,Four-Door Car,2
5456,8456.268179,Extended,High School or Below,Unemployed,F,0,Suburban,Single,90,14,16,3,2,Corporate Auto,Corporate L3,Offer1,Agent,648,Two-Door Car,2
5457,2009.772923,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,12,57,2,1,Personal Auto,Personal L3,Offer2,Agent,312,Two-Door Car,2
5458,5166.190278,Basic,College,Employed,F,80797,Urban,Married,64,21,47,0,9,Personal Auto,Personal L1,Offer2,Web,300.940297,Four-Door Car,3
5459,2551.226692,Basic,Master,Employed,M,79751,Suburban,Married,63,15,67,0,1,Corporate Auto,Corporate L3,Offer3,Web,392.235698,Two-Door Car,3
5460,5597.12496,Extended,High School or Below,Employed,F,37995,Suburban,Married,139,16,50,0,1,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,2
5461,17816.68242,Extended,High School or Below,Employed,F,60192,Suburban,Married,220,17,87,0,7,Personal Auto,Personal L3,Offer3,Agent,1056,Luxury Car,2
5462,8324.23271,Extended,High School or Below,Unemployed,M,0,Suburban,Single,121,11,92,0,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,2
5465,8085.448545,Basic,Bachelor,Employed,M,61409,Urban,Married,68,30,80,0,2,Special Auto,Special L3,Offer3,Web,264.040157,Four-Door Car,2
5466,10954.38352,Extended,Bachelor,Employed,F,89892,Urban,Single,135,9,6,0,9,Corporate Auto,Personal L3,Offer1,Call Center,526.248798,SUV,2
5467,24186.88247,Basic,College,Employed,F,32989,Suburban,Married,102,25,12,0,2,Personal Auto,Personal L3,Offer2,Web,489.6,SUV,3
5470,13727.79972,Extended,College,Unemployed,M,0,Suburban,Single,126,12,4,0,2,Personal Auto,Personal L3,Offer1,Agent,604.8,SUV,2
5471,10963.95723,Premium,High School or Below,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Corporate Auto,Corporate L3,Offer1,Agent,1324.8,Luxury SUV,2
5472,7710.912153,Basic,Bachelor,Employed,M,77642,Urban,Married,64,20,14,0,2,Personal Auto,Personal L3,Offer1,Branch,282.146354,Two-Door Car,1
5474,2867.312197,Extended,Bachelor,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Corporate Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,2
5475,3450.328786,Extended,High School or Below,Employed,M,39248,Urban,Married,87,27,22,0,1,Personal Auto,Personal L1,Offer4,Agent,386.765125,Four-Door Car,2
5476,7316.650059,Basic,College,Employed,F,30493,Rural,Married,62,15,56,1,2,Personal Auto,Personal L3,Offer1,Branch,108.09413,Two-Door Car,2
5477,10629.33736,Extended,Doctor,Employed,M,56598,Rural,Married,88,29,29,0,2,Personal Auto,Personal L2,Offer4,Web,92.966783,Four-Door Car,2
5479,2755.747968,Basic,Bachelor,Employed,F,49648,Rural,Divorced,70,0,23,0,1,Personal Auto,Personal L3,Offer2,Call Center,65.954813,Four-Door Car,2
5480,4636.54647,Basic,College,Retired,M,26802,Suburban,Married,0,7,3,1,5,Corporate Auto,Corporate L2,Offer2,Agent,376.502488,Two-Door Car,2
5482,8433.228985,Basic,Bachelor,Employed,M,57961,Rural,Divorced,72,27,64,0,2,Personal Auto,Personal L3,Offer1,Agent,38.513959,Two-Door Car,1
5483,6613.973653,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.391482,Four-Door Car,1
5484,5970.995737,Extended,College,Employed,M,64008,Urban,Single,85,9,66,5,5,Personal Auto,Personal L3,Offer3,Agent,372.893812,Four-Door Car,2
5486,8257.666512,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Corporate Auto,Corporate L1,Offer2,Call Center,424.330166,Four-Door Car,2
5487,11726.18921,Extended,Master,Employed,F,40564,Rural,Married,97,0,36,0,2,Personal Auto,Personal L2,Offer4,Call Center,85.968142,Four-Door Car,3
5488,6568.75877,Extended,High School or Below,Disabled,F,25876,Suburban,Married,83,29,46,0,3,Personal Auto,Personal L3,Offer1,Branch,398.4,Two-Door Car,2
5490,2727.682464,Basic,Master,Employed,M,74608,Suburban,Married,68,11,4,1,1,Corporate Auto,Corporate L2,Offer3,Web,407.68374,Four-Door Car,2
5492,2601.468833,Basic,High School or Below,Employed,F,80584,Suburban,Divorced,65,33,17,0,1,Personal Auto,Personal L2,Offer4,Branch,312,Two-Door Car,3
5493,7703.397294,Basic,High School or Below,Employed,M,36765,Suburban,Married,0,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.849072,Four-Door Car,2
5494,29830.38714,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,0,10,85,0,2,Personal Auto,Personal L3,Offer2,Agent,489.6,Sports Car,2
5495,4460.418492,Basic,Bachelor,Employed,M,50146,Suburban,Married,114,26,50,0,1,Personal Auto,Personal L3,Offer3,Call Center,523.2,SUV,2
