"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"677",1,2,5,306,10,9,364,10,"Favorite","Uniform",145
"2659",1,3,4,397,16,12,824,16,"Favorite","Uniform",120
"625",1,2,5,201,17,13,1005,17,"Uniform","Uniform",110
"2530",1,3,1,367,23,20,1072,23,"Uniform","Uniform",225
"881",1,1,6,367,13,12,2825,11,"Uniform","Uniform",173.14
"3112",1,1,7,412,20,20,917,20,"Favorite","Uniform",213.5
"114",2,2,8,335,19,19,2676,19,"Favorite","Uniform",322.2
"633",1,2,7,350,33,24,895,33,"Favorite","Uniform",277.5
"2329",1,1,5,421,12,12,936,10,"Favorite","Uniform",111.5
"1174",1,2,4,347,11,11,11732,11,"Favorite","Uniform",155
"1148",1,3,5,157,9,7,800,9,"Favorite","Uniform",105
"3025",1,3,3,353,21,21,57,21,"Favorite","Uniform",172.5
"3075",1,2,4,223,6,6,200,2,"Favorite","Uniform",179.99
"119",2,5,4,376,16,16,8250,16,"Favorite","Uniform",171.77
"1667",1,1,7,379,23,17,1130,23,"Uniform","Uniform",140
"871",1,1,6,433,16,16,2266,9,"Favorite","Uniform",238.23
"2119",1,1,5,390,19,16,436,19,"Favorite","Uniform",200
"1857",1,2,5,224,34,20,1412,34,"Favorite","Uniform",182.51
"334",2,2,5,306,9,9,1614,9,"Favorite","Uniform",104.62
"706",2,1,4,385,13,13,2784,13,"Favorite","Uniform",179.94
"2912",1,2,3,461,12,13,2557,5,"Favorite","Uniform",402.42
"3144",1,1,6,349,15,14,1532,9,"Favorite","Uniform",276.79
"1343",1,2,4,417,18,18,759,18,"Favorite","Uniform",140
"1646",1,2,4,367,32,29,226,24,"Favorite","Uniform",392.78
"3078",1,4,5,358,5,5,1138,5,"Favorite","Uniform",100
"3021",1,4,4,465,15,14,5107,7,"Uniform","Uniform",271.58
"2365",1,4,3,353,35,29,6331,35,"Favorite","Uniform",305.01
"1773",1,1,9,103,31,25,1040,31,"Uniform","Uniform",227.51
"181",2,1,5,368,5,5,1530,5,"Favorite","Favorite",113.71
"1076",1,2,4,367,19,15,880,15,"Favorite","Uniform",202.44
"128",2,4,6,390,12,10,1074,12,"Uniform","Uniform",156.33
"809",1,1,6,439,15,15,933,15,"Favorite","Uniform",184.5
"3053",1,1,5,268,15,15,235,15,"Favorite","Uniform",159.99
"2492",1,1,6,444,11,11,419,11,"Favorite","Uniform",116.75
"1836",1,2,3,437,10,10,1706,10,"Favorite","Uniform",132.5
"1101",1,1,8,357,8,8,0,0,"Favorite","NONE",203.7
"1713",1,2,4,368,15,15,3866,15,"Uniform","Uniform",100.04
"1583",1,2,5,393,15,14,3765,15,"Uniform","Uniform",140.03
"2517",1,1,4,354,11,9,242,11,"Favorite","Uniform",112.51
"2982",1,1,6,351,12,12,1854,12,"Favorite","Uniform",116.25
"1559",1,3,5,183,25,25,3269,25,"Favorite","Uniform",185.02
"2713",1,2,5,434,13,11,1446,13,"Favorite","Uniform",150
"231",2,1,8,404,7,6,405,7,"Favorite","Favorite",107.66
"2280",1,3,6,285,11,9,1117,11,"Favorite","Uniform",102.5
"2784",1,3,6,349,37,28,313,37,"Favorite","Uniform",260
"1451",1,3,5,410,23,19,3690,23,"Favorite","Uniform",132.5
"284",2,2,5,426,12,12,3310,12,"Favorite","Uniform",100.21
"2498",1,2,8,334,6,6,205,6,"Favorite","Uniform",107.5
"622",1,1,5,341,12,12,366,12,"Favorite","Uniform",107.51
"2877",1,3,6,211,23,23,2492,16,"Favorite","Uniform",287.32
"22",1,2,3,447,14,14,1617,11,"Favorite","Uniform",199.93
"558",1,2,6,297,36,22,812,36,"Favorite","Uniform",207.5
"307",2,1,4,457,13,10,664,13,"Favorite","Uniform",113.95
"2950",1,2,4,413,15,14,1554,12,"Uniform","Uniform",246.6
"2376",1,2,3,428,14,12,3793,11,"Favorite","Uniform",147.47
"2338",1,2,4,238,9,9,1149,9,"Uniform","Uniform",112.5
"1685",1,1,7,142,9,9,88,9,"Favorite","Uniform",110
"1188",1,1,6,339,13,13,1494,13,"Favorite","Uniform",175
"1027",1,2,2,232,10,10,1179,10,"Favorite","Uniform",164.97
"2233",1,2,3,347,16,11,9,12,"Uniform","Favorite",107.97
"283",2,2,5,236,12,11,686,12,"Favorite","Uniform",148.06
"177",2,2,4,367,16,16,10,16,"Favorite","Favorite",131.06
"3128",1,4,4,374,18,18,2880,9,"Favorite","Uniform",200.92
"3115",1,3,6,456,30,20,771,30,"Uniform","Uniform",148.76
"100",2,1,5,372,10,10,2992,10,"Favorite","Uniform",143.6
"1520",1,2,4,443,18,18,2488,18,"Favorite","Uniform",142.5
"1100",1,2,4,463,9,9,4295,6,"Uniform","Uniform",177.97
"2556",2,2,4,243,20,14,625,20,"Favorite","Uniform",193.23
"635",1,2,5,374,18,14,884,18,"Favorite","Uniform",142.5
"369",2,1,4,441,17,17,1458,17,"Favorite","Uniform",138.56
"3151",1,2,2,361,29,26,958,29,"Favorite","Uniform",190.02
"1189",1,2,5,211,9,9,713,9,"Favorite","Uniform",145
"2551",1,2,5,365,16,16,604,16,"Favorite","Uniform",102.51
"3195",1,2,4,360,17,17,511,17,"Favorite","Uniform",115
"397",1,3,4,260,14,14,1689,14,"Favorite","Uniform",102.51
"1781",1,2,5,251,13,12,4837,11,"Favorite","Uniform",114.98
"1232",1,2,2,309,11,11,477,11,"Favorite","Uniform",105
"2011",1,1,8,314,9,9,959,9,"Favorite","Uniform",100
"1573",1,2,4,316,12,12,86,6,"Uniform","Favorite",273.14
"31",1,1,7,126,8,8,515,8,"Favorite","Uniform",100
"2768",1,3,6,417,16,14,2571,11,"Favorite","Uniform",154.05
"2079",1,2,4,243,17,12,682,17,"Favorite","Uniform",142.5
"1473",1,2,2,458,21,18,1432,21,"Favorite","Uniform",217.5
"250",2,1,5,372,26,21,124,26,"Favorite","Uniform",162.51
"2145",1,2,4,367,9,9,261,0,"Favorite","Uniform",123.7
"1572",1,2,6,366,13,11,1247,13,"Favorite","Uniform",127.5
"346",2,1,5,433,17,16,4002,17,"Favorite","Uniform",179.63
"1733",1,1,7,351,11,11,155,10,"Favorite","Uniform",122.49
"2191",1,3,4,443,24,17,2343,24,"Favorite","Uniform",192.5
"978",1,2,11,105,7,24,3,0,"Favorite","Favorite",472
"692",1,3,6,416,55,51,5313,55,"Favorite","Uniform",427.51
"603",1,3,6,383,23,23,1936,23,"Favorite","Uniform",267.5
"518",1,2,7,419,23,21,3298,23,"Uniform","Uniform",205
"2893",1,2,4,274,13,13,308,13,"Favorite","Uniform",115
"2957",1,2,9,441,17,17,3854,15,"Favorite","Uniform",185.48
"1552",1,3,4,363,13,12,2876,13,"Favorite","Uniform",122.5
"1266",1,2,5,294,18,17,1463,18,"Favorite","Uniform",146
"2484",1,2,6,315,16,12,3528,16,"Favorite","Uniform",122.5
"1757",1,2,6,364,13,13,1207,13,"Favorite","Uniform",177.5
"47",1,2,3,435,23,23,865,23,"Favorite","Uniform",281.25
"2408",1,1,4,442,15,12,821,15,"Favorite","Uniform",105
"118",2,2,5,206,8,8,5988,8,"Favorite","Uniform",104.24
"1844",1,1,6,448,10,10,649,10,"Favorite","Uniform",112.5
"2710",1,2,5,415,15,15,2933,15,"Favorite","Uniform",185
"1253",1,3,3,412,14,11,1714,14,"Uniform","Uniform",112.5
"1967",1,3,8,289,12,12,218,12,"Favorite","Uniform",105.01
"1346",1,3,2,406,12,12,171,6,"Uniform","Favorite",245
"1541",1,1,9,214,8,8,110,5,"Favorite","Uniform",129.97
"1179",1,1,12,290,13,13,155,13,"Favorite","Favorite",145
"2314",1,2,4,358,18,18,217,2,"Favorite","Uniform",380.08
"2080",1,2,3,362,22,16,553,20,"Favorite","Uniform",146.5
"1888",1,4,3,291,12,12,767,9,"Favorite","Uniform",134.38
"165",2,2,3,392,15,12,2924,15,"Favorite","Uniform",107.49
"9",1,4,6,420,20,16,2743,16,"Uniform","Uniform",164.96
"120",2,3,5,367,10,10,890,10,"Favorite","Uniform",100.13
"1991",1,1,6,130,6,6,248,2,"Favorite","Uniform",177.49
"2591",1,4,4,365,16,13,1350,16,"Uniform","Uniform",102.52
"721",1,3,1,335,11,9,142,11,"Favorite","Uniform",100
"2202",1,1,8,306,13,12,1150,13,"Favorite","Uniform",110
"1356",1,2,4,365,15,12,630,10,"Uniform","Uniform",119.69
"1218",1,2,6,451,31,17,691,31,"Uniform","Uniform",190
"880",1,2,5,283,12,12,895,11,"Favorite","Uniform",115.49
"732",1,1,5,181,12,12,143,12,"Favorite","Favorite",107.5
"1851",1,4,3,156,13,13,803,13,"Favorite","Uniform",175
"96",2,2,6,455,8,8,3389,8,"Favorite","Uniform",124.41
"832",1,1,6,365,15,15,502,15,"Favorite","Uniform",128.51
"3104",1,2,4,126,13,13,727,13,"Favorite","Uniform",105
"2440",1,2,5,372,16,16,2871,16,"Favorite","Uniform",120
"1564",1,2,4,316,17,13,922,17,"Favorite","Uniform",152.5
"795",1,2,5,440,12,10,1219,12,"Favorite","Uniform",145
"2316",1,3,5,392,7,7,1784,3,"Favorite","Uniform",212.49
"314",2,2,3,454,6,6,749,6,"Favorite","Uniform",101.67
"1790",2,3,4,376,23,23,3774,23,"Favorite","Uniform",213.7
"2022",1,3,6,382,11,10,2458,11,"Favorite","Uniform",145
"2501",1,2,4,425,28,26,1023,17,"Favorite","Uniform",319.03
"1755",1,2,4,367,20,17,943,19,"Favorite","Uniform",122.51
"1358",1,4,2,379,35,32,8567,30,"Favorite","Uniform",404.95
"2754",1,3,3,337,48,38,973,40,"Favorite","Uniform",419.84
"361",2,2,6,280,9,7,772,9,"Favorite","Uniform",130.23
"1196",1,3,5,105,16,15,913,16,"Uniform","Uniform",142.5
"2714",1,1,6,329,16,12,520,14,"Uniform","Uniform",118.56
"1976",1,1,5,401,24,24,1704,24,"Favorite","Uniform",235
"54",1,2,3,435,12,9,4385,12,"Uniform","Uniform",102.5
"2420",1,3,6,358,16,11,2578,16,"Favorite","Uniform",103.5
"2862",1,2,3,426,20,14,150,20,"Uniform","Uniform",132.5
"883",1,2,5,384,17,14,964,17,"Favorite","Uniform",187.5
"3028",1,4,4,430,27,27,713,27,"Favorite","Uniform",187.51
"211",2,2,5,364,15,15,591,15,"Favorite","Uniform",135.57
"2468",1,5,2,225,11,11,2308,11,"Favorite","Uniform",100
"918",1,2,7,355,13,13,693,13,"Favorite","Uniform",160.01
"774",1,2,5,348,11,8,919,11,"Favorite","Uniform",105
"939",1,2,7,428,23,23,4010,23,"Favorite","Uniform",253.75
"2892",1,1,10,222,13,13,2045,13,"Favorite","Uniform",187.5
"2282",1,2,6,343,8,7,790,4,"Favorite","Uniform",119.99
"352",2,2,5,359,27,27,2465,27,"Favorite","Uniform",380.34
"2160",1,7,5,444,30,27,2245,30,"Uniform","Uniform",195
"2348",1,2,7,334,20,16,784,20,"Uniform","Uniform",157.51
"2727",1,3,1,360,49,39,151,49,"Favorite","Uniform",377.5
"2170",1,3,5,447,11,11,1280,11,"Favorite","Uniform",132.5
"1455",1,3,4,280,27,21,4316,27,"Favorite","Uniform",214.5
"138",2,1,7,299,19,19,923,19,"Favorite","Uniform",179.93
"3209",1,3,2,389,25,17,475,25,"Favorite","Uniform",137.5
"2494",1,1,7,339,8,8,15,0,"Favorite","Uniform",185.46
"1143",1,2,6,247,13,8,1676,12,"Favorite","Uniform",109.99
"1011",1,4,5,235,13,13,1696,13,"Favorite","Uniform",105
"1401",1,2,5,365,10,10,1291,10,"Favorite","Uniform",129.01
"2616",1,2,4,458,14,12,300,14,"Uniform","Uniform",100
"2039",1,3,3,153,15,16,27,2,"Favorite","Uniform",313.09
"1278",1,3,7,363,13,9,141,11,"Favorite","Uniform",107.98
"1230",1,3,4,444,9,9,412,4,"Favorite","Uniform",107.36
"262",2,1,11,456,12,11,1587,12,"Favorite","Uniform",164.47
"1708",1,1,4,455,25,25,2456,24,"Favorite","Uniform",372.99
"1072",1,2,4,371,14,14,424,12,"Favorite","Uniform",125.48
"1751",1,1,7,243,16,14,559,16,"Favorite","Favorite",172.25
"104",2,2,5,461,12,12,1012,12,"Uniform","Uniform",111.47
"1834",1,2,5,332,13,13,266,13,"Favorite","Uniform",127.51
"2405",1,1,6,253,6,6,356,2,"Favorite","Uniform",114.96
"1437",1,1,6,318,33,33,1668,32,"Favorite","Uniform",339.99
"2118",1,1,6,366,8,9,1070,3,"Favorite","Uniform",108.45
"16",1,2,3,371,6,6,1746,6,"Favorite","Uniform",117.5
"785",1,2,5,207,24,22,427,24,"Favorite","Uniform",200
"935",1,2,4,369,34,18,1680,34,"Uniform","Uniform",150.01
"1021",1,3,6,368,10,8,3133,10,"Uniform","Uniform",112.5
"1586",1,2,4,151,14,11,28,10,"Uniform","Uniform",210
"2049",1,1,10,366,13,11,592,13,"Favorite","Uniform",107.5
"1396",1,3,5,392,16,16,1593,15,"Favorite","Uniform",187.49
"2665",1,3,4,404,13,14,691,7,"Favorite","Uniform",201.51
"2356",1,4,1,372,14,14,2744,4,"Uniform","Uniform",287.15
"2360",1,1,6,397,12,12,133,12,"Favorite","Uniform",107.5
"341",2,3,7,451,11,11,1084,11,"Favorite","Uniform",143.05
"2887",1,1,8,354,7,7,704,0,"Favorite","Uniform",126.35
"962",1,1,5,457,23,18,1864,22,"Uniform","Uniform",217.49
"194",2,1,5,432,11,11,219,11,"Favorite","Uniform",124.16
"2953",1,3,3,405,25,18,2955,25,"Uniform","Uniform",189
"1269",1,2,6,375,10,10,118,10,"Favorite","Uniform",115
"887",1,1,6,368,16,16,380,9,"Favorite","Uniform",224.9
"2308",1,1,7,335,6,5,51,4,"Favorite","Uniform",147.46
"1837",1,4,2,422,18,15,994,18,"Favorite","Uniform",120.01
"1421",1,2,3,343,9,9,1618,7,"Favorite","Uniform",142.98
"3002",1,2,5,308,19,19,256,19,"Favorite","Uniform",156
"1569",1,2,5,320,19,19,3422,19,"Favorite","Uniform",145
"241",2,2,5,388,14,13,5065,14,"Uniform","Uniform",140.88
"605",1,3,5,449,19,18,5032,19,"Favorite","Uniform",216.25
"2319",1,2,5,327,9,9,264,9,"Favorite","Uniform",110
"354",2,1,4,281,18,18,253,18,"Favorite","Uniform",143.05
"2555",1,3,6,306,7,8,485,2,"Favorite","Uniform",197.47
"3016",1,2,5,174,6,6,1419,6,"Favorite","Uniform",102.5
"3205",1,2,4,365,16,16,827,16,"Favorite","Uniform",132.5
"1705",1,2,8,155,15,14,145,13,"Uniform","Uniform",146.28
"651",1,1,5,217,12,12,703,12,"Favorite","Uniform",125
"3159",1,2,4,405,29,29,4090,18,"Favorite","Uniform",579.15
"970",1,4,4,468,12,12,740,12,"Favorite","Uniform",107.5
"1017",1,2,4,238,14,13,1896,14,"Favorite","Uniform",137.5
"750",1,2,5,384,17,17,773,15,"Favorite","Uniform",173.48
"2762",1,2,5,360,11,11,2992,11,"Favorite","Uniform",160
"1114",1,3,4,438,64,64,5951,64,"Favorite","Uniform",590.03
"2650",1,2,6,349,17,14,302,17,"Favorite","Uniform",162.5
"2944",1,2,4,416,30,23,1872,29,"Favorite","Uniform",176.99
"1228",1,3,2,209,11,11,821,11,"Favorite","Uniform",155
"2655",1,1,5,123,8,6,276,4,"Uniform","Uniform",187.49
"2354",1,2,4,415,23,23,1354,19,"Favorite","Uniform",262.97
"612",1,3,2,359,8,8,200,0,"Favorite","Uniform",124.92
"1010",1,2,7,335,21,18,101,18,"Favorite","Uniform",241.88
"1735",1,3,7,260,11,10,175,4,"Favorite","Uniform",244.46
"1281",1,1,7,366,10,8,538,8,"Uniform","Uniform",100.64
"863",1,4,3,444,33,32,4289,32,"Favorite","Uniform",250.99
"2385",1,1,6,297,14,14,2659,12,"Favorite","Uniform",211.99
"696",1,3,4,367,14,12,1492,14,"Favorite","Uniform",103.25
"1270",1,1,5,354,11,11,202,11,"Favorite","Uniform",105
"994",1,2,5,304,14,14,1969,14,"Favorite","Uniform",167.5
"587",1,2,4,446,20,17,1064,20,"Favorite","Uniform",137.5
"1211",1,2,4,453,17,17,7495,17,"Favorite","Uniform",113.01
"504",1,2,4,355,6,6,42,0,"Favorite","Uniform",184.97
"1184",1,2,5,334,25,24,2913,21,"Favorite","Uniform",307.46
"2586",1,2,5,408,10,8,2227,10,"Favorite","Favorite",112.5
"2366",1,2,1,391,9,7,901,8,"Uniform","Uniform",160.1
"1353",1,2,6,366,11,10,544,11,"Favorite","Uniform",110
"3054",1,2,5,465,12,12,2403,12,"Favorite","Uniform",130.01
"325",2,5,4,422,14,14,4898,14,"Favorite","Uniform",168.38
"2734",1,2,6,321,12,10,4295,12,"Favorite","Uniform",122.5
"927",2,1,5,452,9,9,1705,9,"Favorite","Uniform",106.63
"972",1,2,4,269,10,10,74,0,"Favorite","Uniform",189.93
"1808",1,3,4,457,85,76,2515,85,"Favorite","Uniform",752.25
"1561",1,2,4,396,9,9,668,9,"Favorite","Uniform",115
"2432",1,4,4,463,11,10,2687,9,"Favorite","Uniform",117.48
"3099",1,1,6,117,15,11,226,15,"Favorite","Uniform",115
"525",1,2,6,221,28,20,669,21,"Favorite","Favorite",300
"2300",1,3,4,394,18,18,303,18,"Favorite","Uniform",187.5
"847",1,2,4,417,19,14,199,19,"Favorite","Uniform",142.5
"29",1,3,3,424,17,17,1606,17,"Favorite","Uniform",152.51
"2726",1,2,4,368,16,16,530,15,"Favorite","Uniform",140.49
"2328",1,3,5,369,33,19,3121,30,"Uniform","Uniform",164.96
"1531",1,2,4,387,20,20,10169,20,"Favorite","Uniform",187.5
"1785",1,2,4,462,21,17,1440,21,"Favorite","Uniform",150
"1924",1,3,1,386,11,10,1292,11,"Favorite","Uniform",110
"2531",1,1,6,343,14,13,153,11,"Uniform","Uniform",110.49
"2677",1,3,4,374,11,11,3121,11,"Favorite","Uniform",145
"596",1,3,4,337,21,21,1690,15,"Uniform","Uniform",217.5
"1420",1,1,4,419,14,14,3677,12,"Favorite","Uniform",110.49
"2823",1,3,3,253,10,10,1471,10,"Favorite","Uniform",120
"621",1,2,6,209,13,13,615,13,"Uniform","Uniform",111.01
"1539",1,1,4,305,14,14,836,12,"Uniform","Uniform",100.5
"2284",1,1,4,430,14,14,1130,14,"Favorite","Uniform",105
"372",2,2,4,369,10,10,996,10,"Favorite","Uniform",112.08
"658",1,2,3,396,10,12,939,7,"Favorite","Uniform",111.05
"794",1,2,5,438,24,23,1900,24,"Favorite","Uniform",211.51
"167",2,1,6,436,12,12,5233,12,"Favorite","Uniform",132.73
"1529",1,2,3,355,15,15,385,9,"Favorite","Uniform",255
"2577",1,2,8,184,20,20,703,20,"Favorite","Uniform",242.5
"3173",1,1,6,452,20,16,315,20,"Favorite","Uniform",145
"2086",1,1,4,458,26,19,5266,23,"Uniform","Uniform",188.66
"2454",1,4,1,291,15,15,2702,10,"Favorite","Uniform",166.45
"1687",1,2,4,462,13,12,770,13,"Favorite","Uniform",134.75
"2546",1,1,7,226,10,10,144,6,"Uniform","Uniform",102.29
"1877",1,2,4,433,14,14,2153,14,"Favorite","Uniform",155
"1710",1,3,2,314,15,8,159,15,"Favorite","Uniform",112.5
"1367",1,1,8,324,10,10,955,9,"Favorite","Uniform",122.99
"2390",1,2,8,258,10,10,1545,10,"Favorite","Uniform",140
"2448",1,2,3,212,13,12,1421,13,"Favorite","Uniform",152.5
"64",1,2,2,427,15,15,356,15,"Favorite","Uniform",102.5
"895",1,2,6,227,11,11,2505,11,"Favorite","Uniform",157.5
"758",1,1,6,368,17,12,2816,12,"Favorite","Uniform",248.3
"836",1,1,5,454,12,12,2104,9,"Favorite","Uniform",119.97
"366",2,2,6,380,11,11,1528,11,"Favorite","Uniform",182.08
"680",1,3,3,183,35,29,765,35,"Favorite","Uniform",250
"2291",1,3,2,258,21,19,799,21,"Favorite","Uniform",203
"2977",1,1,5,453,11,10,3412,11,"Favorite","Uniform",132.5
"578",1,1,7,309,14,10,634,14,"Favorite","Favorite",132.5
"246",2,3,6,374,18,18,1088,18,"Favorite","Uniform",135.55
"63",1,7,5,428,25,20,1985,25,"Favorite","Uniform",181.5
"1712",1,1,7,437,28,24,687,26,"Uniform","Uniform",229.98
"1018",1,2,6,133,22,14,333,20,"Uniform","Uniform",157.46
"1709",1,2,5,207,18,18,634,18,"Favorite","Uniform",154.25
"168",2,2,4,412,29,23,2196,29,"Favorite","Uniform",291.08
"2668",1,5,5,453,40,40,14327,38,"Favorite","Uniform",459.96
"274",2,1,6,312,12,12,1936,12,"Favorite","Uniform",108.65
"1563",1,1,7,403,8,8,1179,8,"Favorite","Uniform",137.5
"1601",1,5,5,372,3,4,49,2,"Favorite","Favorite",139.98
"2098",1,1,7,384,11,8,134,7,"Favorite","Uniform",265
"1320",1,1,6,425,28,29,2542,15,"Favorite","Uniform",521.04
"610",1,1,5,147,13,13,90,10,"Favorite","Uniform",105.93
"422",1,2,6,286,16,15,1896,16,"Uniform","Uniform",117.5
"1690",1,2,2,411,9,9,874,5,"Favorite","Uniform",199.99
"1535",1,2,5,359,21,19,3273,21,"Uniform","Uniform",152.5
"3202",1,3,2,424,20,12,2038,20,"Uniform","Uniform",117.26
"1568",1,5,4,370,16,15,1883,16,"Uniform","Uniform",135.02
"1825",1,2,4,431,8,8,3203,8,"Favorite","Uniform",102.5
"2824",1,2,9,426,14,14,263,14,"Uniform","Uniform",137.5
"2449",1,2,6,338,15,11,964,15,"Uniform","Uniform",117.53
"1971",1,2,2,117,17,17,117,17,"Favorite","Uniform",210
"1998",1,3,4,435,18,18,5464,18,"Favorite","Uniform",180
"1388",1,2,3,454,25,22,1898,17,"Favorite","Uniform",248.72
"152",2,3,5,470,9,9,2264,9,"Favorite","Uniform",112.89
"1734",1,2,5,312,8,8,1580,8,"Favorite","Uniform",105
"1006",1,2,3,162,18,18,150,18,"Favorite","Uniform",180
"821",1,2,5,431,14,10,205,14,"Favorite","Uniform",148.75
"627",1,2,4,174,13,11,604,13,"Uniform","Uniform",100
"2532",1,1,6,287,23,18,882,23,"Favorite","Uniform",260
"3084",1,2,4,257,14,9,524,14,"Favorite","Uniform",105
"1962",1,2,6,385,15,11,693,13,"Favorite","Uniform",102.49
"554",1,1,8,213,17,12,30,17,"Favorite","Favorite",145
"2341",1,2,5,454,15,15,1558,11,"Favorite","Uniform",128.25
"423",1,1,3,463,15,15,929,15,"Uniform","Uniform",137.5
"3153",1,3,4,312,23,19,1099,18,"Uniform","Uniform",206.82
"3105",1,2,6,316,16,16,535,16,"Favorite","Uniform",135.01
"654",1,2,4,421,20,20,511,11,"Uniform","Uniform",326.63
"2911",1,2,2,331,17,14,523,17,"Favorite","Uniform",105
"121",2,2,5,228,6,6,1096,6,"Favorite","Uniform",123.06
"1940",1,3,3,396,16,16,742,15,"Favorite","Uniform",150
"2596",1,1,6,227,6,6,216,6,"Favorite","Favorite",105
"2363",1,1,5,432,30,19,605,30,"Uniform","Uniform",190.03
"1175",1,2,5,418,20,20,1921,19,"Favorite","Uniform",237.99
"1124",1,3,2,440,16,11,2142,16,"Favorite","Uniform",109.5
"1704",1,2,5,437,8,8,952,8,"Favorite","Uniform",122.5
"2639",1,2,5,253,25,21,316,25,"Favorite","Uniform",174
"2304",1,1,6,341,44,32,582,42,"Favorite","Uniform",288.14
"1497",1,2,5,336,17,17,5035,17,"Favorite","Uniform",170
"2478",1,3,4,400,12,12,396,12,"Favorite","Uniform",110
"2956",1,1,8,180,10,10,332,10,"Favorite","Uniform",102.5
"597",1,1,7,364,10,10,86,9,"Favorite","Uniform",125.49
"3131",1,2,2,427,16,16,3137,16,"Favorite","Uniform",122.75
"538",1,2,7,372,20,21,804,17,"Favorite","Uniform",140.47
"1721",1,2,4,174,21,16,1797,21,"Favorite","Uniform",132.5
"2505",1,3,3,447,31,33,1301,30,"Favorite","Uniform",313.97
"151",2,1,7,255,11,11,3509,11,"Favorite","Uniform",159.69
"2102",1,2,3,365,13,12,8,13,"Favorite","Favorite",195
"449",1,4,3,353,22,12,332,22,"Uniform","Uniform",107.5
"838",1,2,4,432,12,11,1875,12,"Favorite","Uniform",126.25
"2836",1,1,4,429,12,12,2105,12,"Favorite","Uniform",135.02
"1296",1,1,5,323,13,13,1327,5,"Favorite","Uniform",178.66
"2412",1,2,4,374,18,11,133,18,"Favorite","Uniform",135
"287",2,1,5,312,12,12,303,12,"Favorite","Uniform",121.53
"1884",1,2,5,367,15,15,904,15,"Favorite","Uniform",167.5
"1233",1,2,6,205,23,16,1863,23,"Favorite","Uniform",205
"1542",1,3,5,432,24,20,1413,24,"Favorite","Uniform",187.52
"1890",1,4,1,368,11,10,299,11,"Favorite","Uniform",100
"1087",1,1,5,351,8,7,585,4,"Favorite","Uniform",112.46
"765",1,2,5,419,16,16,3758,16,"Favorite","Uniform",121.5
"136",2,2,7,398,10,10,456,10,"Favorite","Uniform",101.85
"2318",1,1,7,234,19,17,384,19,"Uniform","Uniform",107.53
"3191",1,1,5,395,9,9,80,0,"Favorite","Uniform",205.97
"2522",1,2,7,398,22,18,1474,22,"Favorite","Uniform",172.5
"771",1,2,4,333,27,27,1225,23,"Favorite","Uniform",282.62
"2728",1,2,3,187,9,9,56,4,"Favorite","Favorite",130.4
"941",1,2,4,204,12,12,1014,12,"Favorite","Favorite",175
"495",1,1,7,286,11,11,1001,11,"Favorite","Uniform",170
"243",2,1,5,155,10,10,116,10,"Favorite","Uniform",114.99
"149",2,1,5,376,11,11,2166,11,"Favorite","Uniform",120.47
"1412",1,2,5,260,11,11,806,10,"Favorite","Uniform",135.21
"586",1,2,4,366,8,8,47,3,"Uniform","Favorite",150.59
"305",2,2,4,367,9,9,35,9,"Favorite","Favorite",150.88
"2272",1,5,4,290,19,22,2547,18,"Favorite","Uniform",237.46
"2064",1,1,7,139,8,8,547,8,"Favorite","Uniform",137.5
"819",1,2,4,398,9,9,6011,9,"Favorite","Uniform",102.5
"1322",1,4,7,274,16,12,69,15,"Uniform","Uniform",114.99
"3109",1,2,7,283,8,8,1738,6,"Favorite","Uniform",160
"2540",1,1,4,385,10,8,345,8,"Uniform","Uniform",128.14
"1115",1,1,6,299,24,19,2448,23,"Favorite","Uniform",169.99
"1464",2,4,3,450,15,15,5508,15,"Favorite","Uniform",172.12
"3040",2,5,3,452,18,18,2372,18,"Favorite","Uniform",234.94
"3029",1,1,7,445,17,16,2488,14,"Favorite","Uniform",304.98
"2630",1,2,6,231,9,9,1656,9,"Favorite","Uniform",160
"6",1,2,3,378,16,16,228,16,"Favorite","Favorite",150
"2475",1,2,4,287,7,7,0,0,"Favorite","NONE",205.93
"1377",1,2,5,407,15,15,5092,14,"Favorite","Uniform",142.49
"2277",1,2,2,215,15,12,572,15,"Favorite","Uniform",107.5
"1620",1,2,4,219,15,15,653,15,"Favorite","Uniform",117.5
"2116",1,3,3,402,21,16,1728,21,"Favorite","Uniform",145
"2769",1,2,5,302,14,14,562,14,"Favorite","Uniform",112.5
"2285",1,1,5,201,16,12,299,16,"Favorite","Uniform",100
"2247",1,5,4,470,15,15,4148,11,"Favorite","Uniform",144.84
"1201",1,4,5,410,24,24,1397,24,"Favorite","Uniform",232.5
"2413",1,4,5,336,15,12,804,15,"Favorite","Uniform",102.5
"1121",1,3,4,470,9,11,1311,4,"Uniform","Uniform",147.96
"907",1,2,5,368,17,17,1082,15,"Favorite","Uniform",179.24
"2431",1,2,3,452,25,16,175,23,"Favorite","Uniform",139.98
"53",1,3,5,357,3,3,356,2,"Favorite","Favorite",149.99
"394",1,1,5,174,19,15,584,19,"Favorite","Uniform",125
"1774",1,3,3,406,18,13,1649,16,"Favorite","Uniform",129.88
"221",2,2,3,464,11,11,1939,11,"Uniform","Uniform",104.34
